Rep,Light_Condition,Biofilm_Location,Actinula_Location,Treatment,AUC
1,Green_Low,Biofilm_CML,Actinula _CML,A,15.3
2,Green_Low,Biofilm_CML,Actinula _CML,A,16.2
3,Green_Low,Biofilm_CML,Actinula _CML,A,15.8
4,Green_Low,Biofilm_CML,Actinula _CML,A,14.7
1,Green_Low,Biofilm_York,Actinula _CML,B,1.7
2,Green_Low,Biofilm_York,Actinula _CML,B,1.4
3,Green_Low,Biofilm_York,Actinula _CML,B,1.4
4,Green_Low,Biofilm_York,Actinula _CML,B,3.7
1,Green_Low,Biofilm_Wells,Actinula _CML,C,12.8
2,Green_Low,Biofilm_Wells,Actinula _CML,C,15
3,Green_Low,Biofilm_Wells,Actinula _CML,C,7
4,Green_Low,Biofilm_Wells,Actinula _CML,C,11.6
1,Green_Low,Biofilm_CML,Actinula _York,D,7
2,Green_Low,Biofilm_CML,Actinula _York,D,6.7
3,Green_Low,Biofilm_CML,Actinula _York,D,8.4
4,Green_Low,Biofilm_CML,Actinula _York,D,6.4
1,Green_Low,Biofilm_York,Actinula _York,E,15.5
2,Green_Low,Biofilm_York,Actinula _York,E,13
3,Green_Low,Biofilm_York,Actinula _York,E,12.4
4,Green_Low,Biofilm_York,Actinula _York,E,16.4
1,Green_Low,Biofilm_Wells,Actinula _York,F,7
2,Green_Low,Biofilm_Wells,Actinula _York,F,12.4
3,Green_Low,Biofilm_Wells,Actinula _York,F,12.7
4,Green_Low,Biofilm_Wells,Actinula _York,F,12.4
1,Green_Low,Biofilm_CML,Actinula _Wells,G,15.9
2,Green_Low,Biofilm_CML,Actinula _Wells,G,10
3,Green_Low,Biofilm_CML,Actinula _Wells,G,14
4,Green_Low,Biofilm_CML,Actinula _Wells,G,14.9
1,Green_Low,Biofilm_York,Actinula _Wells,H,4.8
2,Green_Low,Biofilm_York,Actinula _Wells,H,12.9
3,Green_Low,Biofilm_York,Actinula _Wells,H,7.3
4,Green_Low,Biofilm_York,Actinula _Wells,H,8.7
1,Green_Low,Biofilm_Wells,Actinula _Wells,I,17.6
2,Green_Low,Biofilm_Wells,Actinula _Wells,I,22
3,Green_Low,Biofilm_Wells,Actinula _Wells,I,17
4,Green_Low,Biofilm_Wells,Actinula _Wells,I,22.6
